id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
289,mawili,"[46,41,76,43,63,43]","[""m"",""ɑ"",""w"",""i"",""l"",""i""]",2,,PERFECT,,
221,mguu,"[46,72,45,45]","[""m"",""ɠ"",""u"",""u""]",2,NOUN,PERFECT,,
525,miguu,"[46,43,72,45,45]","[""m"",""i"",""ɠ"",""u"",""u""]",2,NOUN,PERFECT,,
242,mto,"[46,58,44]","[""m"",""t"",""ɔ""]",2,NOUN,PERFECT,,
547,ndege,"[56,42,72,42]","[""nd"",""ɛ"",""ɠ"",""ɛ""]",2,VERB,PERFECT,,
616,nguo,"[71,45,44]","[""ŋɡ"",""u"",""ɔ""]",2,NOUN,PERFECT,,
244,ni,"[55,43]","[""n"",""i""]",2,NOUN,PERFECT,,
265,nyoka,"[68,44,73,41]","[""ʃ"",""ɔ"",""k"",""ɑ""]",2,NOUN,PERFECT,,
574,rangi,"[62,41,71,43]","[""ɾ"",""ɑ"",""ŋɡ"",""i""]",2,NOUN,PERFECT,,
267,sasa,"[61,41,61,41]","[""s"",""ɑ"",""s"",""ɑ""]",2,VERB,PERFECT,,
570,shingo,"[68,43,71,44]","[""ʃ"",""i"",""ŋɡ"",""ɔ""]",2,NOUN,PERFECT,,
653,twiga,"[58,76,43,72,41]","[""t"",""w"",""i"",""ɠ"",""ɑ""]",2,NOUN,PERFECT,,
270,wote,"[76,44,58,42]","[""w"",""ɔ"",""t"",""ɛ""]",2,,PERFECT,,
299,akasema,"[41,73,41,61,42,46,41]","[""ɑ"",""k"",""ɑ"",""s"",""ɛ"",""m"",""ɑ""]",1,VERB,PERFECT,,
306,askari,"[41,61,73,41,62,43]","[""ɑ"",""s"",""k"",""ɑ"",""ɾ"",""i""]",1,NOUN,PERFECT,,
311,baiskeli,"[48,41,43,61,73,42,63,43]","[""ɓ"",""ɑ"",""i"",""s"",""k"",""ɛ"",""l"",""i""]",1,NOUN,PERFECT,,
675,basi,"[48,41,61,43]","[""ɓ"",""ɑ"",""s"",""i""]",1,NOUN,PERFECT,,
309,bata,"[48,41,58,41]","[""ɓ"",""ɑ"",""t"",""ɑ""]",1,,PERFECT,,
263,chui,"[67,45,43]","[""tʃ"",""u"",""i""]",1,NOUN,PERFECT,,
317,dunia,"[57,45,55,43,41]","[""ɗ"",""u"",""n"",""i"",""ɑ""]",1,NOUN,PERFECT,,
321,endelea,"[42,55,57,42,63,42,41]","[""ɛ"",""n"",""ɗ"",""ɛ"",""l"",""ɛ"",""ɑ""]",1,VERB,PERFECT,,
326,familia,"[52,41,46,43,63,43,41]","[""f"",""ɑ"",""m"",""i"",""l"",""i"",""ɑ""]",1,NOUN,PERFECT,,
599,fimbo,"[52,43,47,44]","[""f"",""i"",""mb"",""ɔ""]",1,NOUN,PERFECT,,
327,fisi,"[52,43,61,43]","[""f"",""i"",""s"",""i""]",1,NOUN,PERFECT,,
531,furaha,"[52,45,62,41,77,41]","[""f"",""u"",""ɾ"",""ɑ"",""h"",""ɑ""]",1,VERB,PERFECT,,
337,gazeti,"[72,41,60,42,58,43]","[""ɠ"",""ɑ"",""z"",""ɛ"",""t"",""i""]",1,NOUN,PERFECT,,
534,goli,"[72,44,63,43]","[""ɠ"",""ɔ"",""l"",""i""]",1,NOUN,PERFECT,,
342,hatua,"[77,41,58,45,41]","[""h"",""ɑ"",""t"",""u"",""ɑ""]",1,NOUN,PERFECT,,
351,imara,"[43,46,41,62,41]","[""i"",""m"",""ɑ"",""ɾ"",""ɑ""]",1,ADJECTIVE,PERFECT,,
258,ina,"[43,55,41]","[""i"",""n"",""ɑ""]",1,,PERFECT,,
350,ingia,"[43,55,72,43,41]","[""i"",""n"",""ɠ"",""i"",""ɑ""]",1,VERB,PERFECT,,
355,jani,"[66,41,55,43]","[""ʄ"",""ɑ"",""n"",""i""]",1,NOUN,PERFECT,,
237,jua,"[66,45,41]","[""ʄ"",""u"",""ɑ""]",1,NOUN,PERFECT,,
281,juu,"[66,45,45]","[""ʄ"",""u"",""u""]",1,VERB,PERFECT,,
646,karatasi,"[73,41,62,41,58,41,61,43]","[""k"",""ɑ"",""ɾ"",""ɑ"",""t"",""ɑ"",""s"",""i""]",1,NOUN,PERFECT,,
594,kelele,"[73,42,63,42,63,42]","[""k"",""ɛ"",""l"",""ɛ"",""l"",""ɛ""]",1,VERB,PERFECT,,
360,kichwa,"[73,43,58,68,76,41]","[""k"",""i"",""t"",""ʃ"",""w"",""ɑ""]",1,NOUN,PERFECT,,
596,kuimba,"[73,45,43,47,41]","[""k"",""u"",""i"",""mb"",""ɑ""]",1,VERB,PERFECT,,
557,kuingia,"[73,45,43,71,43,41]","[""k"",""u"",""i"",""ŋɡ"",""i"",""ɑ""]",1,NOUN,PERFECT,,
361,kuku,"[73,45,73,45]","[""k"",""u"",""k"",""u""]",1,NOUN,PERFECT,,
301,kule,"[73,45,63,42]","[""k"",""u"",""l"",""ɛ""]",1,,PERFECT,,
251,kuna,"[73,45,55,41]","[""k"",""u"",""n"",""ɑ""]",1,,PERFECT,,
253,kuni,"[73,45,55,43]","[""k"",""u"",""n"",""i""]",1,NOUN,PERFECT,,
550,kuruka,"[73,45,62,45,73,41]","[""k"",""u"",""ɾ"",""u"",""k"",""ɑ""]",1,VERB,PERFECT,,
249,leo,"[63,42,44]","[""l"",""ɛ"",""ɔ""]",1,NOUN,PERFECT,,
523,mbali,"[47,41,63,43]","[""mb"",""ɑ"",""l"",""i""]",1,NOUN,PERFECT,,
496,mbaya,"[47,41,69,41]","[""mb"",""ɑ"",""j"",""ɑ""]",1,ADJECTIVE,PERFECT,,
203,mbwa,"[47,76,41]","[""mb"",""w"",""ɑ""]",1,NOUN,PERFECT,,
275,miti,"[46,43,58,43]","[""m"",""i"",""t"",""i""]",1,NOUN,PERFECT,,
220,mkia,"[46,73,43,41]","[""m"",""k"",""i"",""ɑ""]",1,NOUN,PERFECT,,
222,mkono,"[46,73,44,55,44]","[""m"",""k"",""ɔ"",""n"",""ɔ""]",1,,PERFECT,,
201,mnyama,"[46,64,41,46,41]","[""m"",""ɲ"",""ɑ"",""m"",""ɑ""]",1,NOUN,PERFECT,,
303,mrefu,"[46,62,42,52,45]","[""m"",""ɾ"",""ɛ"",""f"",""u""]",1,ADJECTIVE,PERFECT,,
637,msichana,"[46,61,43,58,68,41,55,41]","[""m"",""s"",""i"",""t"",""ʃ"",""ɑ"",""n"",""ɑ""]",1,NOUN,PERFECT,,
204,mti,"[46,58,43]","[""m"",""t"",""i""]",1,NOUN,PERFECT,,
238,mwezi,"[46,76,42,60,43]","[""m"",""w"",""ɛ"",""z"",""i""]",1,NOUN,PERFECT,,
19,nane,"[55,41,55,42]","[""n"",""ɑ"",""n"",""ɛ""]",1,,PERFECT,,
274,nani,"[55,41,55,43]","[""n"",""ɑ"",""n"",""i""]",1,VERB,PERFECT,,
537,ngumu,"[71,45,46,45]","[""ŋɡ"",""u"",""m"",""u""]",1,ADJECTIVE,PERFECT,,
585,nyekundu,"[64,42,73,45,56,45]","[""ɲ"",""ɛ"",""k"",""u"",""nd"",""u""]",1,NOUN,PERFECT,,
212,nyinyi,"[64,43,64,43]","[""ɲ"",""i"",""ɲ"",""i""]",1,NOUN,PERFECT,,
232,paa,"[49,41,41]","[""p"",""ɑ"",""ɑ""]",1,NOUN,PERFECT,,
507,paka,"[49,41,73,41]","[""p"",""ɑ"",""k"",""ɑ""]",1,NOUN,PERFECT,,
217,pale,"[49,41,63,42]","[""p"",""ɑ"",""l"",""ɛ""]",1,,PERFECT,,
584,panya,"[49,41,64,41]","[""p"",""ɑ"",""ɲ"",""ɑ""]",1,NOUN,PERFECT,,
283,peke,"[49,42,73,42]","[""p"",""ɛ"",""k"",""ɛ""]",1,,PERFECT,,
558,refu,"[62,42,52,45]","[""ɾ"",""ɛ"",""f"",""u""]",1,ADJECTIVE,PERFECT,,
505,sanduku,"[61,41,56,45,73,45]","[""s"",""ɑ"",""nd"",""u"",""k"",""u""]",1,NOUN,PERFECT,,
495,siafu,"[61,43,41,52,45]","[""s"",""i"",""ɑ"",""f"",""u""]",1,NOUN,PERFECT,,
194,simba,"[61,43,46,48,41]","[""s"",""i"",""m"",""ɓ"",""ɑ""]",1,NOUN,PERFECT,,
499,sofa,"[61,44,52,41]","[""s"",""ɔ"",""f"",""ɑ""]",1,NOUN,PERFECT,,
