ethereum_address,contributor_id,impact_percentage
0x0000000000000000000000000000000000000000,1,59.345794392523366
0x0000000000000000000000000000000000000000,2,0.0
0x0000000000000000000000000000000000000000,3,0.0
0x0000000000000000000000000000000000000000,4,0.0
0x0000000000000000000000000000000000000000,5,0.0
0xa8a4f4c8e76974ad3465e793d54fa2392338da1b,6,2.4922118380062304
0x0000000000000000000000000000000000000000,7,0.0
0x0000000000000000000000000000000000000000,8,0.0
0xd231cbea9397ba77806176a6c85ace73e45c91f2,9,22.585669781931465
0x39bb57b112f459f6636fcb7bd87d8acce408e12a,10,12.77258566978193
0x81d80e6c2d30a7e10a1ae2271f6e978dc99d4bf9,11,0.0
0x0000000000000000000000000000000000000000,12,0.0
0xcdc6dbfbb4755d82c90166b79063b5881906b48e,17,2.803738317757009
0x59f1202ee4a967183598ad45c23459107d5accd6,18,0.0
0x0000000000000000000000000000000000000000,15,0.0
0x0000000000000000000000000000000000000000,19,0.0
0x0000000000000000000000000000000000000000,20,0.0
0x0000000000000000000000000000000000000000,21,0.0
0x0000000000000000000000000000000000000000,22,0.0
0x0000000000000000000000000000000000000000,23,0.0
0xcec0e2214d43f8245c1302904c02d666fc65e6bc,24,0.0
0x5eb194eba98c028fb9625fb18f392497ddb5d144,25,0.0
0x92ad2bf2c30b0250188d4156da5628c0d524ae9b,26,0.0
0xafac34fb316fe797f775898d2dfb6157815ffedc,27,0.0
