id,letter_ids,allophone_ids,usage_count
6,[4],[4],54
18,[1],[1],54
19,[12],[20],21
20,[11],[19],21
4,[10],[13],21
16,[7],[17],0
17,[7],[18],0
15,[7],[16],0
14,[7],[15],0
13,[6],[14],0
12,[6],[3],0
11,[7],[7],0
10,[6],[6],0
9,[8],[8],0
8,[9],[9],0
5,[3],[3],0
3,[10],[12],0
2,[10],[11],0
1,[10],[10],0
