id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
456,pill,"[17,8,34]","[""p"",""ɪ"",""l""]",0,NOUN,
457,pink,"[17,8,37,19]","[""p"",""ɪ"",""ŋ"",""k""]",0,ADJECTIVE,
458,pip,"[17,8,17]","[""p"",""ɪ"",""p""]",0,NOUN,
459,pit,"[17,8,18]","[""p"",""ɪ"",""t""]",0,NOUN,
460,pool,"[17,3,34]","[""p"",""u"",""l""]",0,,
461,pot,"[17,1,18]","[""p"",""ɑ"",""t""]",0,,
134,pretty,"[78,17,38,8,18,4]","[""ˈ"",""p"",""r"",""ɪ"",""t"",""i""]",0,,
667,purple,"[17,7,38,17,10,34]","[""p"",""ɛ"",""r"",""p"",""ə"",""l""]",0,,
462,rain,"[38,7,8,36]","[""r"",""ɛ"",""ɪ"",""n""]",0,,
463,rat,"[38,5,18]","[""r"",""æ"",""t""]",0,,
186,rectangle,"[78,38,7,19,79,18,5,37,22,34]","[""ˈ"",""r"",""ɛ"",""k"",""ˌ"",""t"",""æ"",""ŋ"",""g"",""l""]",0,,
464,rest,"[38,7,29,18]","[""r"",""ɛ"",""s"",""t""]",0,,
465,rich,"[38,8,23]","[""r"",""ɪ"",""tʃ""]",0,,
136,ride,"[38,1,8,21]","[""r"",""ɑ"",""ɪ"",""d""]",0,,
466,ring,"[38,8,37]","[""r"",""ɪ"",""ŋ""]",0,,
467,rip,"[38,8,17]","[""r"",""ɪ"",""p""]",0,,
668,rope,"[38,2,9,17]","[""r"",""ɔ"",""ʊ"",""p""]",0,,
618,rose,"[38,2,9,30]","[""r"",""ɔ"",""ʊ"",""z""]",0,,
469,sack,"[29,5,19]","[""s"",""æ"",""k""]",0,,
8,seven,"[78,29,7,26,10,36]","[""ˈ"",""s"",""ɛ"",""v"",""ə"",""n""]",0,,
683,seventeen,"[78,29,7,26,10,36,78,18,4,36]","[""ˈ"",""s"",""ɛ"",""v"",""ə"",""n"",""ˈ"",""t"",""i"",""n""]",0,,
658,shovel,"[78,31,6,26,10,34]","[""ˈ"",""ʃ"",""ʌ"",""v"",""ə"",""l""]",0,,
475,silver,"[78,29,8,34,26,10,38]","[""ˈ"",""s"",""ɪ"",""l"",""v"",""ə"",""r""]",0,NOUN,HIGHLY_PHONEMIC
682,sixteen,"[29,8,19,78,29,18,4,36]","[""s"",""ɪ"",""k"",""ˈ"",""s"",""t"",""i"",""n""]",0,,
478,sort,"[29,2,38,18]","[""s"",""ɔ"",""r"",""t""]",0,,
669,spider,"[29,17,1,8,21,10,38]","[""s"",""p"",""ɑ"",""ɪ"",""d"",""ə"",""r""]",0,,
479,sun,"[29,6,36]","[""s"",""ʌ"",""n""]",0,NOUN,HIGHLY_PHONEMIC
480,tail,"[18,7,8,34]","[""t"",""ɛ"",""ɪ"",""l""]",0,NOUN,PERFECT
481,tank,"[18,5,37,19]","[""t"",""æ"",""ŋ"",""k""]",0,,
482,tap,"[18,5,17]","[""t"",""æ"",""p""]",0,,
679,thirteen,"[27,7,38,18,4,36]","[""θ"",""ɛ"",""r"",""t"",""i"",""n""]",0,,
697,thirty,"[27,7,38,21,4]","[""θ"",""ɛ"",""r"",""d"",""i""]",0,,
484,tie,[],[],0,,
485,tooth,"[18,3,27]","[""t"",""u"",""θ""]",0,,
624,toy,"[18,2,8]","[""t"",""ɔ"",""ɪ""]",0,,
486,train,"[18,38,7,8,36]","[""t"",""r"",""ɛ"",""ɪ"",""n""]",0,,
660,tree,"[18,38,4]","[""t"",""r"",""i""]",0,NOUN,PERFECT
678,twelve,"[18,39,7,34,26]","[""t"",""w"",""ɛ"",""l"",""v""]",0,,
686,twenty,"[78,18,39,7,36,18,4]","[""ˈ"",""t"",""w"",""ɛ"",""n"",""t"",""i""]",0,,
702,twenty-one,"[78,18,39,7,36,18,4,78,39,6,36]","[""ˈ"",""t"",""w"",""ɛ"",""n"",""t"",""i"",""ˈ"",""w"",""ʌ"",""n""]",0,,
703,twenty-two,"[78,18,39,7,36,18,4,78,18,3]","[""ˈ"",""t"",""w"",""ɛ"",""n"",""t"",""i"",""ˈ"",""t"",""u""]",0,,
487,vest,"[26,7,29,18]","[""v"",""ɛ"",""s"",""t""]",0,,
488,web,"[39,7,20]","[""w"",""ɛ"",""b""]",0,,
153,white,"[39,1,8,18]","[""w"",""ɑ"",""ɪ"",""t""]",0,VERB,PHONEMIC
490,win,"[39,8,36]","[""w"",""ɪ"",""n""]",0,VERB,PERFECT
491,wing,"[39,8,37]","[""w"",""ɪ"",""ŋ""]",0,NOUN,NON_PHONEMIC
55,yellow,"[78,40,7,34,2,9]","[""ˈ"",""j"",""ɛ"",""l"",""ɔ"",""ʊ""]",0,ADJECTIVE,PERFECT
492,zebra,"[78,30,4,20,38,10]","[""ˈ"",""z"",""i"",""b"",""r"",""ə""]",0,NOUN,PERFECT
1,zero,[],[],0,,
493,zip,"[30,8,17]","[""z"",""ɪ"",""p""]",0,,PERFECT
