id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
54,where,"[39,7,38]","[""w"",""ɛ"",""r""]",13,,PHONEMIC
154,who,"[33,3]","[""h"",""u""]",13,,HIGHLY_NON_PHONEMIC
157,yes,"[40,7,29]","[""j"",""ɛ"",""s""]",13,,PHONEMIC
109,am,"[5,35]","[""æ"",""m""]",12,,
65,baby,"[78,20,7,8,20,4]","[""ˈ"",""b"",""ɛ"",""ɪ"",""b"",""i""]",12,NOUN,NON_PHONEMIC
173,king,"[19,8,37]","[""k"",""ɪ"",""ŋ""]",12,NOUN,NON_PHONEMIC
29,find,"[25,1,8,36,21]","[""f"",""ɑ"",""ɪ"",""n"",""d""]",11,VERB,HIGHLY_PHONEMIC
193,happy,"[78,33,5,17,4]","[""ˈ"",""h"",""æ"",""p"",""i""]",10,,PHONEMIC
127,new,"[36,40,3]","[""n"",""j"",""u""]",10,VERB,HIGHLY_NON_PHONEMIC
627,read,"[38,4,21]","[""r"",""i"",""d""]",10,VERB,NON_PHONEMIC
137,saw,"[29,2]","[""s"",""ɔ""]",10,VERB,HIGHLY_NON_PHONEMIC
69,cat,"[19,5,18]","[""k"",""æ"",""t""]",9,,
72,cow,"[19,12]","[""k"",""aʊ""]",9,NOUN,PHONEMIC
101,doll,"[21,1,34]","[""d"",""ɑ"",""l""]",9,,
189,head,"[33,7,21]","[""h"",""ɛ"",""d""]",9,NOUN,NON_PHONEMIC
190,horse,"[33,2,38,29]","[""h"",""ɔ"",""r"",""s""]",9,NOUN,HIGHLY_PHONEMIC
66,bed,"[20,7,21]","[""b"",""ɛ"",""d""]",8,NOUN,PERFECT
103,dance,"[21,5,36,29]","[""d"",""æ"",""n"",""s""]",8,VERB,PHONEMIC
430,long,"[34,2,37]","[""l"",""ɔ"",""ŋ""]",8,ADJECTIVE,PERFECT
132,out,"[12,18]","[""aʊ"",""t""]",8,,PHONEMIC
135,ran,"[38,5,36]","[""r"",""æ"",""n""]",7,VERB,
25,blue,"[20,34,3]","[""b"",""l"",""u""]",6,NOUN,PHONEMIC
28,down,"[21,12,36]","[""d"",""aʊ"",""n""]",6,VERB,NON_PHONEMIC
34,here,"[33,4,38]","[""h"",""i"",""r""]",6,,NON_PHONEMIC
