id,letter_ids,allophone_ids,usage_count
9,[5],[4],31
10,[8],[33],26
8,[9],[8],24
5,[20],[18],21
6,"[20,8]",[27],18
12,[14],[36],14
1,[18],[38],10
13,[1],[5],10
4,[9],[10],10
3,[2],[20],10
2,[1],[5],10
17,[19],[29],7
11,[23],[39],7
7,[5],[7],5
23,[15],"[86,9]",4
18,[7],[22],4
20,"[15,15]",[3],3
15,[5],[85],2
14,[22],[26],2
24,[21],[6],2
19,"[15,1]","[86,9]",0
21,[4],[21],0
22,[15],[2],0
16,[13],[35],0
