id,text,allophone_ids,allophone_values_ipa,letter_to_allophone_mappings,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
264,kaya,"[15,1,8,10,1]","[""k"",""ɑ"",""ː"",""j"",""ɑ""]","[{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""j"",""id"":3,""letters"":""y"",""usageCount"":403},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",36,,PERFECT,,
110,kung,"[18,15,11,3]","[""ˈ"",""k"",""u"",""ŋ""]",[],36,,PERFECT,,
249,gusto,"[22,11,2,18,7,6,8]","[""g"",""u"",""s"",""ˈ"",""t"",""ɔ"",""ː""]","[{""allophones"":""g"",""id"":20,""letters"":""g"",""usageCount"":240},{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601}]",35,VERB,PERFECT,,
95,ano,"[1,5,6]","[""ɑ"",""n"",""ɔ""]",[],34,,PERFECT,,
26,araw,"[1,12,1,23]","[""ɑ"",""r"",""ɑ"",""w""]",[],32,NOUN,PERFECT,,
271,sabi,"[2,1,8,20,14]","[""s"",""ɑ"",""ː"",""b"",""ɪ""]","[{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""b"",""id"":4,""letters"":""b"",""usageCount"":282},{""allophones"":""ɪ"",""id"":14,""letters"":""i"",""usageCount"":675}]",32,,PERFECT,,
230,aking,"[1,8,15,14,3]","[""ɑ"",""ː"",""k"",""ɪ"",""ŋ""]",[],31,,PHONEMIC,,
192,kanyang,"[15,1,41,1,3]","[""k"",""ɑ"",""ɲ"",""ɑ"",""ŋ""]",[],31,,PHONEMIC,,
226,ngayon,"[3,1,18,10,6,8,5]","[""ŋ"",""ɑ"",""ˈ"",""j"",""ɔ"",""ː"",""n""]",[],31,,PHONEMIC,,
11,paruparo,"[9,1,12,11,9,1,12,6]","[""p"",""ɑ"",""r"",""u"",""p"",""ɑ"",""r"",""ɔ""]","[{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""r"",""id"":12,""letters"":""r"",""usageCount"":211},{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""r"",""id"":12,""letters"":""r"",""usageCount"":211},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601}]",31,NOUN,PERFECT,,
267,pa,"[9,1]","[""p"",""ɑ""]","[{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",30,,PERFECT,,
15,puno,"[9,11,5,6]","[""p"",""u"",""n"",""ɔ""]",[],28,NOUN,PERFECT,,
22,para,"[9,1,12,1]","[""p"",""ɑ"",""r"",""ɑ""]",[],27,,PERFECT,,
187,nang,"[5,1,3]","[""n"",""ɑ"",""ŋ""]",[],26,,NON_PHONEMIC,,
243,rin,"[12,14,5]","[""r"",""ɪ"",""n""]","[{""allophones"":""r"",""id"":12,""letters"":""r"",""usageCount"":211},{""allophones"":""ɪ"",""id"":14,""letters"":""i"",""usageCount"":675},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116}]",26,,PERFECT,,
140,sumbrero,"[2,11,16,18,20,12,21,8,12,6]","[""s"",""u"",""m"",""ˈ"",""b"",""r"",""ɛ"",""ː"",""r"",""ɔ""]",[],26,NOUN,PERFECT,,
97,akong,"[1,15,6,3]","[""ɑ"",""k"",""ɔ"",""ŋ""]",[],24,,PHONEMIC,,
21,nakita,"[5,1,15,4,7,1]","[""n"",""ɑ"",""k"",""iː"",""t"",""ɑ""]","[{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""iː"",""id"":8,""letters"":""i"",""usageCount"":722},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",23,VERB,PERFECT,106,makita
37,kong,"[15,6,3]","[""k"",""ɔ"",""ŋ""]",[],21,,PERFECT,,
16,pero,"[9,21,12,6]","[""p"",""ɛ"",""r"",""ɔ""]",[],21,,PERFECT,,
358,tanong,"[7,1,18,5,6,8,3]","[""t"",""ɑ"",""ˈ"",""n"",""ɔ"",""ː"",""ŋ""]","[{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",21,NOUN,PHONEMIC,,
363,bola,"[20,6,8,13,1]","[""b"",""ɔ"",""ː"",""l"",""ɑ""]","[{""allophones"":""b"",""id"":4,""letters"":""b"",""usageCount"":282},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",20,NOUN,PERFECT,,
165,habang,"[19,1,8,20,1,3]","[""h"",""ɑ"",""ː"",""b"",""ɑ"",""ŋ""]",[],20,,HIGHLY_PHONEMIC,,
417,po,"[9,6,8]","[""p"",""ɔ"",""ː""]","[{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601}]",20,,PERFECT,,
