id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
15,mama,"[{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""aː""],""id"":16,""letters"":[""a""],""usageCount"":6},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109}]",3,NOUN,PERFECT,,
3,inja,"[{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""ʄ""],""id"":13,""letters"":[""j""],""usageCount"":1},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109}]",1,NOUN,PERFECT,,
27,lishumi,"[{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""ʃ""],""id"":33,""letters"":[""s"",""h""],""usageCount"":1},{""sounds"":[""uː""],""id"":4,""letters"":[""u""],""usageCount"":80},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37}]",1,NUMBER,PERFECT,,
26,lithoba,"[{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""tʰ""],""id"":29,""letters"":[""t"",""h""],""usageCount"":2},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29},{""sounds"":[""b""],""id"":20,""letters"":[""b""],""usageCount"":48},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109}]",1,NUMBER,PERFECT,,
8,lizwi,"[{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""w""],""id"":22,""letters"":[""w""],""usageCount"":9},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37}]",1,NOUN,PERFECT,,
1,umlomo,"[{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29}]",1,NOUN,PERFECT,,
21,zine,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25}]",1,NUMBER,PERFECT,,
20,zintathu,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""t'""],""id"":25,""letters"":[""t""],""usageCount"":9},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""tʰ""],""id"":29,""letters"":[""t"",""h""],""usageCount"":2},{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85}]",1,NUMBER,HIGHLY_PHONEMIC,,
22,zintlanu,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""t'""],""id"":25,""letters"":[""t""],""usageCount"":9},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85}]",1,NUMBER,HIGHLY_PHONEMIC,,
25,zisibhozo,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""s""],""id"":8,""letters"":[""s""],""usageCount"":13},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""b̥ʱ""],""id"":32,""letters"":[""b"",""h""],""usageCount"":1},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29},{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29}]",1,NUMBER,PERFECT,,
24,zisixhenxe,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""s""],""id"":8,""letters"":[""s""],""usageCount"":13},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""x"",""h""],""id"":30,""letters"":[""x"",""h""],""usageCount"":1},{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""x""],""id"":31,""letters"":[""x""],""usageCount"":1},{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25}]",1,NUMBER,PERFECT,,
19,Zimbini,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""b""],""id"":20,""letters"":[""b""],""usageCount"":48},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37}]",0,NUMBER,PERFECT,,
6,iqanda,"[{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""k͡ǃ""],""id"":19,""letters"":[""q""],""usageCount"":0},{""sounds"":[""aː""],""id"":16,""letters"":[""a""],""usageCount"":6},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""d""],""id"":18,""letters"":[""d""],""usageCount"":0},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109}]",0,NOUN,PERFECT,,
11,isikolo,"[{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""s""],""id"":8,""letters"":[""s""],""usageCount"":13},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""k""],""id"":23,""letters"":[""k""],""usageCount"":92},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29}]",0,NOUN,PERFECT,,
5,mpho,"[{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""pʰ""],""id"":17,""letters"":[""p"",""h""],""usageCount"":12},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29}]",0,NOUN,NON_PHONEMIC,,
12,umtu,"[{""sounds"":[""uː""],""id"":4,""letters"":[""u""],""usageCount"":80},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""t'""],""id"":25,""letters"":[""t""],""usageCount"":9},{""sounds"":[""uː""],""id"":4,""letters"":[""u""],""usageCount"":80}]",0,NOUN,HIGHLY_PHONEMIC,,
23,zintandathu,"[{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""t'""],""id"":25,""letters"":[""t""],""usageCount"":9},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""aː""],""id"":16,""letters"":[""a""],""usageCount"":6},{""sounds"":[""tʰ""],""id"":29,""letters"":[""t"",""h""],""usageCount"":2},{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85}]",0,NUMBER,HIGHLY_PHONEMIC,,
